Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
44000,Lec,A,4,LEHMAN R.,    TBA,ON LINE,    TBA,198,67,0,101,0,A,Bookstore,,OPEN
44020,Lec,A,4,LEHMAN R.,    TBA,ON LINE,    TBA,406,244,0,341,0,A,Bookstore,,OPEN
44022,Dis,A1,0,STAFF,M   8:00- 8:50 ,VRTL REMOTE,,0,0,n/a,2,0,A,Bookstore,,FULL
44023,Dis,A2,0,STAFF,W   11:00-11:50 ,VRTL REMOTE,,100,14,0,17,0,A,Bookstore,,OPEN
44024,Dis,A3,0,STAFF,F   8:00- 8:50 ,VRTL REMOTE,,0,0,n/a,0,0,A,Bookstore,,FULL
44025,Dis,A4,0,STAFF,M   10:00-10:50 ,VRTL REMOTE,,102,89,0,100,0,A,Bookstore,,OPEN
44031,Dis,A5,0,STAFF,W   10:00-10:50 ,VRTL REMOTE,,102,100,0,103,0,A,Bookstore,,OPEN
44034,Dis,A6,0,STAFF,F   10:00-10:50 ,VRTL REMOTE,,102,41,0,51,0,A,Bookstore,,OPEN
44110,Lec,A,4,DELLACA R.,MWF   8:00- 8:50 ,VRTL REMOTE,Mon Dec 14 8:00-10:00am,339,240,0,382,305,A,Bookstore,,NewOnly
44115,Dis,A1,0,STAFF,WF   11:00-11:50 ,VRTL REMOTE,,59,59,1,67,51,A,Bookstore,,Waitl
44116,Dis,A2,0,STAFF,WF   12:00-12:50p,VRTL REMOTE,,59,59,0,63,51,A,Bookstore,,Waitl
44117,Dis,A3,0,STAFF,WF   4:00- 4:50p,VRTL REMOTE,,59,52,0,60,51,A,Bookstore,,NewOnly
44119,Dis,A4,0,STAFF,WF   3:00- 3:50p,VRTL REMOTE,,42,42,0,45,42,A,Bookstore,,Waitl
44135,Dis,A5,0,STAFF,TuTh   12:00-12:50p,VRTL REMOTE,,60,21,0,24,55,A,Bookstore,,NewOnly
44137,Dis,A6,0,STAFF,TuTh   3:00- 3:50p,VRTL REMOTE,,60,7,0,9,55,A,Bookstore,,NewOnly
44140,Lec,B,4,YOUSSEFPOUR H.,    TBA,ON LINE,    TBA,448,411,0,542,305,A,Bookstore,,NewOnly
44141,Dis,B1,0,STAFF,TuTh   5:00- 5:50p,VRTL REMOTE,,60,60,0,68,44,A,Bookstore,,Waitl
44145,Dis,B2,0,STAFF,MW   12:00-12:50p,VRTL REMOTE,,60,60,1,59,43,A,Bookstore,,Waitl
44150,Dis,B3,0,STAFF,MW   1:00- 1:50p,VRTL REMOTE,,60,59,0,65,44,A,Bookstore,,NewOnly
44165,Dis,B4,0,STAFF,MW   4:00- 4:50p,VRTL REMOTE,,54,41,0,41,43,A,Bookstore,,NewOnly
44166,Dis,B5,0,STAFF,MW   3:00- 3:50p,VRTL REMOTE,,60,60,0,64,43,A,Bookstore,,Waitl
44190,Dis,B6,0,STAFF,TuTh   5:00- 5:50p,VRTL REMOTE,,54,37,0,35,44,A,Bookstore,,NewOnly
44195,Dis,B7,0,STAFF,TuTh   6:00- 6:50p,VRTL REMOTE,,60,54,0,55,44,A,Bookstore,,NewOnly
44197,Dis,B8,0,STAFF,MW   10:00-10:50 ,VRTL REMOTE,,40,40,0,45,0,A,Bookstore,,Waitl
44275,Lec,A,4,YOUSSEFPOUR H.,MWF   6:00- 6:50p,VRTL REMOTE,Fri Dec 18 7:00-9:00pm,339,264,0,368,305,A,Bookstore,,NewOnly
44278,Dis,A1,0,STAFF,TuTh   11:00-11:50 ,VRTL REMOTE,,60,60,0,61,52,A,Bookstore,,Waitl
44279,Dis,A2,0,STAFF,TuTh   6:00- 6:50p,VRTL REMOTE,,60,60,0,60,52,A,Bookstore,,Waitl
44280,Dis,A3,0,STAFF,TuTh   10:00-10:50 ,VRTL REMOTE,,59,49,0,51,51,A,Bookstore,,NewOnly
44281,Dis,A4,0,STAFF,TuTh   12:00-12:50p,VRTL REMOTE,,60,31,0,37,51,A,Bookstore,,NewOnly
44282,Dis,A5,0,STAFF,TuTh   3:00- 3:50p,VRTL REMOTE,,47,35,0,33,47,A,Bookstore,,NewOnly
44283,Dis,A6,0,STAFF,TuTh   2:00- 2:50p,VRTL REMOTE,,53,29,0,34,52,A,Bookstore,,NewOnly
44290,Lec,B,4,LEHMAN R.,    TBA,ON LINE,    TBA,448,240,5,348,305,A,Bookstore,,NewOnly
44295,Dis,B1,0,STAFF,TuTh   8:00- 8:50 ,VRTL REMOTE,,55,30,0,30,38,A,Bookstore,,NewOnly
44296,Dis,B2,0,STAFF,TuTh   11:00-11:50 ,VRTL REMOTE,,59,48,1,52,38,A,Bookstore,,NewOnly
44297,Dis,B3,0,STAFF,TuTh   1:00- 1:50p,VRTL REMOTE,,56,37,0,38,38,A,Bookstore,,NewOnly
44299,Dis,B4,0,STAFF,TuTh   12:00-12:50p,VRTL REMOTE,,59,29,0,28,38,A,Bookstore,,NewOnly
44300,Dis,B5,0,STAFF,TuTh   2:00- 2:50p,VRTL REMOTE,,65,35,0,40,38,A,Bookstore,,NewOnly
44301,Dis,B6,0,STAFF,TuTh   4:00- 4:50p,VRTL REMOTE,,47,21,3,24,38,A,Bookstore,,NewOnly
44302,Dis,B7,0,STAFF,TuTh   10:00-10:50 ,VRTL REMOTE,,60,29,0,34,38,A,Bookstore,,NewOnly
44303,Dis,B8,0,STAFF,TuTh   3:00- 3:50p,VRTL REMOTE,,47,11,1,14,39,A,Bookstore,,NewOnly
44355,Lec,A,4,STREETS J.,MWF   4:00- 4:50p,VRTL REMOTE,Wed Dec 16 4:00-6:00pm,332,134,0,192,99,A and N,Bookstore,,OPEN
44356,Dis,A1,0,STAFF,TuTh   1:00- 1:50p,VRTL REMOTE,,59,52,0,57,17,A and N,Bookstore,,NewOnly
44357,Dis,A2,0,STAFF,TuTh   5:00- 5:50p,VRTL REMOTE,,59,31,0,31,17,A and N,Bookstore,,OPEN
44365,Dis,A3,0,STAFF,TuTh   8:00- 8:50 ,VRTL REMOTE,,60,6,0,9,17,A and N,Bookstore,,OPEN
44370,Dis,A4,0,STAFF,TuTh   10:00-10:50 ,VRTL REMOTE,,47,19,0,20,16,A and N,Bookstore,,OPEN
44372,Dis,A5,0,STAFF,TuTh   2:00- 2:50p,VRTL REMOTE,,60,10,0,10,16,A and N,Bookstore,,OPEN
44374,Dis,A6,0,STAFF,TuTh   4:00- 4:50p,VRTL REMOTE,,47,16,0,18,16,A and N,Bookstore,,OPEN
44380,Lec,B,4,STAFF,MWF   8:00- 8:50 ,VRTL REMOTE,Mon Dec 14 8:00-10:00am,107,52,0,95,98,A and N,Bookstore,,NewOnly
44381,Dis,B1,0,STAFF,TuTh   1:00- 1:50p,VRTL REMOTE,,60,40,0,49,52,A and N,Bookstore,,NewOnly
44382,Dis,B2,0,STAFF,MW   4:00- 4:50p,VRTL REMOTE,,47,12,0,18,47,A and N,Bookstore,,NewOnly
44386,Lec,C,4,STREETS J.,MWF   2:00- 2:50p,VRTL REMOTE,Fri Dec 18 1:30-3:30pm,257,99,0,127,98,A and N,Bookstore,,OPEN
44387,Dis,C1,0,STAFF,MW   10:00-10:50 ,VRTL REMOTE,,45,41,0,44,19,A and N,Bookstore,,NewOnly
44395,Dis,C2,0,STAFF,MW   1:00- 1:50p,VRTL REMOTE,,49,28,0,30,19,A and N,Bookstore,,OPEN
44396,Dis,C3,0,STAFF,MW   9:00- 9:50 ,VRTL REMOTE,,56,17,0,19,19,A and N,Bookstore,,OPEN
44397,Dis,C4,0,STAFF,MW   5:00- 5:50p,VRTL REMOTE,,54,10,0,12,20,A and N,Bookstore,,OPEN
44398,Dis,C5,0,STAFF,MW   1:00- 1:50p,VRTL REMOTE,,53,5,0,8,21,A and N,Bookstore,,OPEN
44415,Lec,A,4,HUBER K.,MWF   1:00- 1:50p,VRTL REMOTE,Wed Dec 16 1:30-3:30pm,114,107,0,165,7,A and N,Bookstore,,NewOnly
44420,Dis,A1,0,STAFF,TuTh   8:00- 8:50 ,VRTL REMOTE,,57,53,0,60,4,A and N,Bookstore,,NewOnly
44421,Dis,A2,0,STAFF,MW   12:00-12:50p,VRTL REMOTE,,57,54,0,63,3,A and N,Bookstore,,NewOnly
44426,Lec,B,4,HUBER K.,MWF   12:00-12:50p,VRTL REMOTE,Mon Dec 14 1:30-3:30pm,104,95,0,135,7,A and N,Bookstore,,OPEN
44427,Dis,B1,0,STAFF,MW   4:00- 4:50p,VRTL REMOTE,,47,43,0,51,4,A and N,Bookstore,,NewOnly
44430,Dis,B2,0,STAFF,WF   8:00- 8:50 ,VRTL REMOTE,,57,47,0,49,3,A and N,Bookstore,,OPEN
44431,Lec,C,4,HUBER K.,MWF   3:00- 3:50p,VRTL REMOTE,Mon Dec 14 4:00-6:00pm,114,76,0,81,8,A and N,Bookstore,,OPEN
44432,Dis,C1,0,STAFF,TuTh   11:00-11:50 ,VRTL REMOTE,,57,47,0,41,4,A and N,Bookstore,,OPEN
44433,Dis,C2,0,STAFF,TuTh   2:00- 2:50p,VRTL REMOTE,,57,32,0,32,4,A and N,Bookstore,,OPEN
44435,Lec,A,4,KRONEWETTER J.,MWF   5:00- 5:50p,VRTL REMOTE,Wed Dec 16 10:30-12:30pm,100,100,2,146,12,A and N,Bookstore,,Waitl
44436,Dis,A1,0,STAFF,TuTh   8:00- 8:50 ,VRTL REMOTE,,60,60,0,63,6,A and N,Bookstore,,Waitl
44437,Dis,A2,0,STAFF,TuTh   2:00- 2:50p,VRTL REMOTE,,40,40,2,43,6,A and N,Bookstore,,Waitl
44440,Lec,B,4,KRONEWETTER J.,MWF   4:00- 4:50p,VRTL REMOTE,Wed Dec 16 4:00-6:00pm,100,100,1,125,12,A and N,Bookstore,,Waitl
44445,Dis,B1,0,STAFF,TuTh   9:00- 9:50 ,VRTL REMOTE,,60,60,0,61,6,A and N,Bookstore,,Waitl
44446,Dis,B2,0,STAFF,TuTh   4:00- 4:50p,VRTL REMOTE,,40,40,3,44,6,A and N,Bookstore,,Waitl
44450,Lec,C,4,GUO R.,MWF   2:00- 2:50p,VRTL REMOTE,Fri Dec 18 1:30-3:30pm,100,80,0,97,12,A and N,Bookstore,,OPEN
44455,Dis,C1,0,STAFF,TuTh   10:00-10:50 ,VRTL REMOTE,,47,41,0,49,6,A and N,Bookstore,,NewOnly
44456,Dis,C2,0,STAFF,TuTh   9:00- 9:50 ,VRTL REMOTE,,53,39,0,38,6,A and N,Bookstore,,OPEN
44460,Lec,D,4,WOLFSON J.,MWF   2:00- 2:50p,VRTL REMOTE,Fri Dec 18 1:30-3:30pm,106,59,0,80,12,A and N,Bookstore,,OPEN
44461,Dis,D1,0,STAFF,MW   10:00-10:50 ,VRTL REMOTE,,52,49,0,56,6,A and N,Bookstore,,NewOnly
44462,Dis,D2,0,STAFF,TuTh   6:00- 6:50p,VRTL REMOTE,,54,10,0,9,6,A and N,Bookstore,,OPEN
44465,Lec,E,4,GE L.,MWF   11:00-11:50 ,VRTL REMOTE,Fri Dec 18 8:00-10:00am,100,100,3,127,12,A and N,Bookstore,,Waitl
44466,Dis,E1,0,STAFF,TuTh   8:00- 8:50 ,VRTL REMOTE,,46,46,0,43,6,A and N,Bookstore,,Waitl
44467,Dis,E2,0,STAFF,TuTh   10:00-10:50 ,VRTL REMOTE,,54,54,5,56,6,A and N,Bookstore,,Waitl
44470,Lec,F,4,WOLFSON J.,MWF   3:00- 3:50p,VRTL REMOTE,Mon Dec 14 4:00-6:00pm,102,43,0,43,12,A and N,Bookstore,,OPEN
44471,Dis,F1,0,STAFF,TuTh   8:00- 8:50 ,VRTL REMOTE,,52,21,0,18,6,A and N,Bookstore,,OPEN
44472,Dis,F2,0,STAFF,TuTh   6:00- 6:50p,VRTL REMOTE,,50,22,0,18,6,A and N,Bookstore,,OPEN
44480,Lec,G,4,GUO R.,MWF   11:00-11:50 ,VRTL REMOTE,Fri Dec 18 8:00-10:00am,110,19,0,21,12,A and N,Bookstore,,OPEN
44485,Dis,G1,0,STAFF,TuTh   8:00- 8:50 ,VRTL REMOTE,,56,4,0,2,6,A and N,Bookstore,,OPEN
44486,Dis,G2,0,STAFF,TuTh   10:00-10:50 ,VRTL REMOTE,,54,15,0,16,6,A and N,Bookstore,,OPEN
44495,Lec,H,4,KRAMER-MILLER J.,MWF   3:00- 3:50p,VRTL REMOTE,Mon Dec 14 4:00-6:00pm,95,7,0,11,12,A and N,Bookstore,,OPEN
44496,Dis,H1,0,STAFF,TuTh   5:00- 5:50p,VRTL REMOTE,,51,3,0,3,6,A and N,Bookstore,,OPEN
44498,Dis,H2,0,STAFF,MW   1:00- 1:50p,VRTL REMOTE,,54,4,0,4,6,A and N,Bookstore,,OPEN
44505,Lec,A,4,FU X.,MWF   4:00- 4:50p,VRTL REMOTE,Wed Dec 16 4:00-6:00pm,180,164,0,218,11,A and N,Bookstore,,OPEN
44510,Dis,A1,0,STAFF,TuTh   8:00- 8:50 ,VRTL REMOTE,,60,56,0,56,3,A and N,Bookstore,,OPEN
44515,Dis,A2,0,STAFF,TuTh   11:00-11:50 ,VRTL REMOTE,,60,57,0,64,3,A and N,Bookstore,,NewOnly
44516,Dis,A3,0,STAFF,MW   8:00- 8:50 ,VRTL REMOTE,,60,51,0,54,3,A and N,Bookstore,,OPEN
44520,Lec,B,4,KRONEWETTER J.,MWF   1:00- 1:50p,VRTL REMOTE,Wed Dec 16 1:30-3:30pm,180,180,13,251,11,A and N,Bookstore,,Waitl
44525,Dis,B1,0,STAFF,TuTh   2:00- 2:50p,VRTL REMOTE,,45,45,4,53,3,A and N,Bookstore,,Waitl
44530,Dis,B2,0,STAFF,TuTh   5:00- 5:50p,VRTL REMOTE,,45,45,3,50,3,A and N,Bookstore,,Waitl
44532,Dis,B3,0,STAFF,TuTh   8:00- 8:50 ,VRTL REMOTE,,45,45,2,49,3,A and N,Bookstore,,Waitl
44533,Dis,B4,0,STAFF,TuTh   1:00- 1:50p,VRTL REMOTE,,45,45,5,49,2,A and N,Bookstore,,Waitl
44580,Lec,A,4,ENCISO RUIZ G.,    TBA,ON LINE,    TBA,399,93,0,175,0,A and N,Bookstore,,OPEN
44584,Dis,A1,0,STAFF,MW   9:00- 9:50 ,VRTL REMOTE,,54,7,0,11,0,A and N,Bookstore,,OPEN
44585,Dis,A2,0,STAFF,TuTh   11:00-11:50 ,VRTL REMOTE,,47,27,0,34,0,A and N,Bookstore,,OPEN
44587,Dis,A3,0,STAFF,MW   2:00- 2:50p,VRTL REMOTE,,60,23,0,23,0,A and N,Bookstore,,OPEN
44588,Dis,A4,0,STAFF,MW   6:00- 6:50p,VRTL REMOTE,,60,2,0,3,0,A and N,Bookstore,,OPEN
44590,Dis,A5,0,STAFF,MW   1:00- 1:50p,VRTL REMOTE,,60,20,0,20,0,A and N,Bookstore,,OPEN
44591,Dis,A6,0,STAFF,MW   3:00- 3:50p,VRTL REMOTE,,60,10,0,12,0,A and N,Bookstore,,OPEN
44592,Dis,A7,0,STAFF,TuTh   5:00- 5:50p,VRTL REMOTE,,58,4,0,4,0,A and N,Bookstore,,OPEN
44594,Lec,A,4,PELAYO R.,    TBA,ON LINE,    TBA,294,257,0,331,0,A and N,Bookstore,,OPEN
44595,Dis,A1,0,STAFF,TuTh   12:00-12:50p,VRTL REMOTE,,54,54,4,62,0,A and N,Bookstore,,Waitl
44596,Dis,A2,0,STAFF,MW   4:00- 4:50p,VRTL REMOTE,,60,59,0,65,0,A and N,Bookstore,,OPEN
44598,Dis,A3,0,STAFF,TuTh   2:00- 2:50p,VRTL REMOTE,,60,60,0,64,0,A and N,Bookstore,,Waitl
44599,Dis,A4,0,STAFF,MW   5:00- 5:50p,VRTL REMOTE,,60,41,0,48,0,A and N,Bookstore,,OPEN
44601,Dis,A5,0,STAFF,TuTh   4:00- 4:50p,VRTL REMOTE,,60,43,0,54,0,A and N,Bookstore,,OPEN
44605,Lec,A,4,STAFF,MWF   8:00- 8:50 ,VRTL REMOTE,Mon Dec 14 8:00-10:00am,49,25,7,52,30,A and L,Bookstore,,NewOnly
44606,Lab,AL,0,STAFF,TuTh   8:00- 8:50 ,VRTL REMOTE,,49,25,7,40,30,A and L,Bookstore,,NewOnly
44607,Lec,B,4,DAVIS C.,MWF   11:00-11:50 ,VRTL REMOTE,Fri Dec 18 8:00-10:00am,50,45,3,87,30,A and L,Bookstore,,NewOnly
44608,Lab,BL,0,STAFF,    TBA,ON LINE,,50,45,3,51,30,A and L,Bookstore,,NewOnly
44609,Lec,C,4,DAVIS C.,MWF   12:00-12:50p,VRTL REMOTE,Mon Dec 14 1:30-3:30pm,50,33,7,53,30,A and L,Bookstore,,NewOnly
44610,Lab,CL,0,STAFF,    TBA,ON LINE,,50,33,7,40,30,A and L,Bookstore,,NewOnly
44614,Lec,A,4,STAFF,MWF   12:00-12:50p,VRTL REMOTE,Mon Dec 14 1:30-3:30pm,50,46,8,92,10,A and L,Bookstore,,NewOnly
44615,Lab,AL,0,STAFF,TuTh   1:00- 1:50p,VRTL REMOTE,,50,46,8,61,10,A and L,Bookstore,,NewOnly
44616,Lec,A,4,WALSBERG E.,MWF   11:00-11:50 ,VRTL REMOTE,Fri Dec 18 8:00-10:00am,47,28,0,44,21,A and L,Bookstore,,NewOnly
44617,Dis,A1,0,STAFF,MW   12:00-12:50p,VRTL REMOTE,,47,28,0,28,21,A and L,Bookstore,,NewOnly
44620,Lec,C,4,SMITH L.,MWF   9:00- 9:50 ,VRTL REMOTE,Wed Dec 16 8:00-10:00am,54,54,9,72,22,A and L,Bookstore,,FULL
44625,Dis,C1,0,STAFF,TuTh   9:00- 9:50 ,VRTL REMOTE,,54,54,9,62,22,A and L,Bookstore,,FULL
44627,Lec,D,4,WALSBERG E.,MWF   12:00-12:50p,VRTL REMOTE,Mon Dec 14 1:30-3:30pm,54,26,0,30,21,A and L,Bookstore,,OPEN
44628,Dis,D1,0,STAFF,MW   2:00- 2:50p,VRTL REMOTE,,54,26,0,25,21,A and L,Bookstore,,OPEN
44632,Lec,A,4,DELLACA R.,MWF   3:00- 3:50p,VRTL REMOTE,Mon Dec 14 4:00-6:00pm,46,45,n/a,78,5,A and L,Bookstore,,NewOnly
44633,Dis,A1,0,STAFF,TuTh   3:00- 3:50p,VRTL REMOTE,,46,45,n/a,54,5,A and L,Bookstore,,NewOnly
44634,Lab,AL,1,DELLACA R.,TuTh   4:00- 4:50p,VRTL REMOTE,    TBA,46,44,n/a,50,5,A and L,Bookstore,,NewOnly
44635,Lec,B,4,LOWENGRUB J.,MWF   12:00-12:50p,VRTL REMOTE,Mon Dec 14 1:30-3:30pm,45,45,off(2),85,2,A and L,Bookstore,,FULL
44636,Dis,B1,0,STAFF,TuTh   12:00-12:50p,VRTL REMOTE,,45,45,off(2),67,2,A and L,Bookstore,,FULL
44638,Lab,BL,1,LOWENGRUB J.,TuTh   1:00- 1:50p,VRTL REMOTE,Fri Dec 18 4:00-6:00pm,45,45,off(2),67,2,A and L,Bookstore,,FULL
44639,Lec,C,4,YAN H.,MWF   8:00- 8:50 ,VRTL REMOTE,Mon Dec 14 8:00-10:00am,45,44,n/a,71,5,A and L,Bookstore,,NewOnly
44640,Dis,C1,0,STAFF,TuTh   8:00- 8:50 ,VRTL REMOTE,,45,44,n/a,49,5,A and L,Bookstore,,NewOnly
44641,Lab,CL,1,STAFF,TuTh   10:00-10:50 ,VRTL REMOTE,    TBA,45,44,n/a,50,5,A and L,Bookstore,,NewOnly
44646,Lec,A,4,KOMAROVA N.,MWF   4:00- 4:50p,VRTL REMOTE,Wed Dec 16 4:00-6:00pm,62,47,0,83,18,A and L,Bookstore,,NewOnly
44647,Dis,A1,0,STAFF,TuTh   10:00-10:50 ,VRTL REMOTE,,62,47,0,56,18,A and L,Bookstore,,NewOnly
44648,Lec,B,4,KOMAROVA N.,MWF   11:00-11:50 ,VRTL REMOTE,Fri Dec 18 8:00-10:00am,64,50,2,70,18,A and L,Bookstore,,NewOnly
44649,Dis,B1,0,STAFF,TuTh   8:00- 8:50 ,VRTL REMOTE,,64,50,2,56,18,A and L,Bookstore,,NewOnly
44650,Lec,D,4,YAN H.,MWF   10:00-10:50 ,VRTL REMOTE,Mon Dec 14 10:30-12:30pm,45,17,n/a,19,33,A and L,Bookstore,,NewOnly
44651,Dis,D1,0,STAFF,TuTh   10:00-10:50 ,VRTL REMOTE,,45,17,n/a,14,33,A and L,Bookstore,,NewOnly
44652,Lab,DL,1,STAFF,TuTh   11:00-11:50 ,VRTL REMOTE,Tue Dec 15 10:30-12:30pm,45,17,n/a,9,33,A and L,Bookstore,,NewOnly
44653,Lec,A,4,XIN J.,MWF   9:00- 9:50 ,VRTL REMOTE,Wed Dec 16 8:00-10:00am,35,20,0,33,12,A and L,Bookstore,,OPEN
44655,Dis,A1,0,STAFF,TuTh   9:00- 9:50 ,VRTL REMOTE,,35,20,0,22,12,A and L,Bookstore,,OPEN
44690,Lec,A,4,VIACLOVSKY J.,MWF   10:00-10:50 ,VRTL REMOTE,Mon Dec 14 10:30-12:30pm,35,35,2,52,0,A and L,Bookstore,,Waitl
44692,Dis,A1,0,STAFF,TuTh   10:00-10:50 ,VRTL REMOTE,,35,35,2,42,0,A and L,Bookstore,,Waitl
44695,Lec,A,4,PANTANO A.,MWF   4:00- 4:50p,VRTL REMOTE,Wed Dec 16 4:00-6:00pm,54,54,7,85,1,A and L,Bookstore,,Waitl
44696,Dis,A1,0,STAFF,TuTh   2:00- 2:50p,VRTL REMOTE,,54,54,7,65,1,A and L,Bookstore,,Waitl
44697,Lec,B,4,KRAMER-MILLER J.,MWF   2:00- 2:50p,VRTL REMOTE,Fri Dec 18 1:30-3:30pm,59,20,0,34,1,A and L,Bookstore,,OPEN
44698,Dis,B1,0,STAFF,TuTh   9:00- 9:50 ,VRTL REMOTE,,59,20,0,22,1,A and L,Bookstore,,OPEN
44712,Lec,C,4,PANTANO A.,MWF   9:00- 9:50 ,VRTL REMOTE,Wed Dec 16 8:00-10:00am,60,59,4,82,2,A and L,Bookstore,,NewOnly
44713,Dis,C1,0,STAFF,TuTh   4:00- 4:50p,VRTL REMOTE,,60,59,4,67,2,A and L,Bookstore,,NewOnly
44715,Lec,A,5,KAPLAN N.,MTuWThF   2:00- 2:50p,VRTL REMOTE,Thu Dec 17 1:30-3:30pm,15,7,n/a,12,0,X,Bookstore,,OPEN
